asset_id,timestamp,temperature_c,vibration_mm_s,pressure_psi,fault_code
AST-003,2026-08-22,77.95,3.97,108.94,
AST-003,2026-08-23,78.22,4.31,101.77,
AST-003,2026-08-24,80.5,3.58,100.83,
AST-003,2026-08-25,79.37,4.54,98.78,
AST-003,2026-08-26,79.42,4.72,96.19,
AST-003,2026-08-27,82.92,4.47,96.22,
AST-003,2026-08-28,84.47,4.86,96.51,
AST-003,2026-08-29,81.79,5.77,95.62,
AST-003,2026-08-30,81.48,5.0,96.18,
AST-003,2026-08-31,89.46,6.33,90.63,
AST-003,2026-09-01,85.1,5.35,98.29,
AST-003,2026-09-02,82.76,6.69,94.76,
AST-003,2026-09-03,85.0,5.03,93.28,
AST-003,2026-09-04,82.39,6.43,95.97,
AST-003,2026-09-05,91.13,6.0,96.29,
AST-003,2026-09-06,94.28,5.99,89.29,
AST-003,2026-09-07,91.33,8.12,89.37,
AST-003,2026-09-08,91.37,6.82,88.67,PRESSURE_LOW
AST-003,2026-09-09,89.0,5.38,90.6,PRESSURE_LOW
AST-003,2026-09-10,87.29,6.06,95.37,
AST-003,2026-09-11,86.09,8.44,88.04,VIB_HIGH
AST-004,2026-08-13,67.06,2.15,104.27,
AST-004,2026-08-14,64.2,2.34,102.17,
AST-004,2026-08-15,64.58,2.49,100.99,
AST-004,2026-08-16,63.41,2.77,102.77,
AST-004,2026-08-17,67.35,2.23,107.18,
AST-004,2026-08-18,60.27,2.67,102.55,
AST-004,2026-08-19,64.74,2.48,100.16,
AST-004,2026-08-20,63.19,2.49,103.33,
AST-004,2026-08-21,64.89,2.45,103.48,
AST-004,2026-08-22,64.79,3.05,102.67,
AST-004,2026-08-23,62.52,2.5,103.03,
AST-004,2026-08-24,65.4,2.72,101.14,
AST-004,2026-08-25,66.73,2.49,102.43,
AST-004,2026-08-26,63.77,2.64,104.08,
AST-004,2026-08-27,65.83,3.05,104.7,
AST-004,2026-08-28,64.22,3.0,99.85,
AST-004,2026-08-29,64.83,2.68,101.08,
AST-004,2026-08-30,65.37,2.4,107.06,
AST-004,2026-08-31,62.17,2.24,104.26,
AST-004,2026-09-01,65.76,2.98,102.67,
AST-004,2026-09-02,64.15,2.37,101.01,
AST-004,2026-09-03,62.82,3.12,100.34,
AST-004,2026-09-04,62.53,2.6,102.02,
AST-004,2026-09-05,63.05,2.4,101.52,
AST-004,2026-09-06,64.67,2.53,99.37,
AST-004,2026-09-07,64.64,2.15,96.56,
AST-004,2026-09-08,62.74,2.64,101.72,
AST-004,2026-09-09,67.13,3.07,100.3,
AST-004,2026-09-10,64.14,2.33,100.73,
AST-004,2026-09-11,63.6,2.86,98.3,
AST-005,2026-08-13,71.89,3.94,101.2,
AST-005,2026-08-14,71.65,3.6,100.32,
AST-005,2026-08-15,71.3,3.33,101.82,
AST-005,2026-08-16,69.3,3.33,103.02,
AST-005,2026-08-17,73.75,3.71,107.98,
AST-005,2026-08-18,69.32,3.67,102.07,
AST-005,2026-08-19,75.23,3.0,99.01,
AST-005,2026-08-20,69.65,2.47,99.95,
AST-005,2026-08-21,69.33,3.38,102.55,
AST-005,2026-08-22,74.6,3.7,99.79,
AST-005,2026-08-23,69.05,3.52,97.56,
AST-005,2026-08-24,74.51,3.8,100.12,
AST-005,2026-08-25,67.42,3.87,101.18,
AST-005,2026-08-26,73.33,2.69,99.73,
AST-005,2026-08-27,70.86,3.34,100.17,
AST-005,2026-08-28,72.1,2.9,101.1,
AST-005,2026-08-29,71.09,3.53,103.66,
AST-005,2026-08-30,68.6,2.71,105.36,
AST-005,2026-08-31,71.51,3.02,106.18,
AST-005,2026-09-01,71.08,3.8,101.73,
AST-005,2026-09-02,74.97,4.03,100.78,
AST-005,2026-09-03,72.79,3.58,105.63,
AST-005,2026-09-04,68.92,3.6,104.7,
AST-005,2026-09-05,67.33,2.85,95.41,
AST-005,2026-09-06,70.31,3.61,106.03,
AST-005,2026-09-07,71.0,3.98,97.38,
AST-005,2026-09-08,67.44,3.3,102.68,
AST-005,2026-09-09,70.78,2.5,101.26,
AST-005,2026-09-10,68.24,3.59,102.62,
AST-005,2026-09-11,68.97,3.12,98.35,
AST-006,2026-08-13,63.55,3.0,96.17,
AST-006,2026-08-14,65.04,2.77,96.05,
AST-006,2026-08-15,64.92,2.79,96.01,
AST-006,2026-08-16,64.08,3.94,96.66,
AST-006,2026-08-17,64.85,3.52,95.82,
AST-006,2026-08-18,66.12,3.79,96.43,
AST-006,2026-08-19,66.0,3.82,93.74,
AST-006,2026-08-20,63.92,3.64,96.74,
AST-006,2026-08-21,70.15,3.78,94.29,
AST-006,2026-08-22,69.32,5.2,95.16,
AST-006,2026-08-23,71.34,4.66,89.65,
AST-006,2026-08-24,69.46,4.38,88.1,
AST-006,2026-08-25,71.82,4.33,94.12,
AST-006,2026-08-26,74.63,5.46,93.17,
AST-006,2026-08-27,73.03,4.58,93.68,
AST-006,2026-08-28,72.25,5.5,90.11,
AST-006,2026-08-29,72.0,4.51,90.72,
AST-006,2026-08-30,80.22,5.46,90.61,
AST-006,2026-08-31,74.72,6.5,87.75,
AST-006,2026-09-01,72.28,6.89,85.7,
AST-006,2026-09-02,80.33,6.5,85.73,
AST-006,2026-09-03,73.06,5.51,86.85,
AST-006,2026-09-04,79.54,6.05,86.38,
AST-006,2026-09-05,81.41,6.0,86.71,PRESSURE_LOW
AST-006,2026-09-06,77.05,6.84,81.61,TEMP_WARN
AST-006,2026-09-07,78.61,6.96,85.32,
AST-006,2026-09-08,81.42,6.25,84.91,VIB_HIGH
AST-006,2026-09-09,77.98,6.72,78.47,
AST-006,2026-09-10,82.38,9.22,79.37,PRESSURE_LOW
AST-006,2026-09-11,80.46,8.8,77.95,VIB_HIGH
AST-007,2026-08-13,75.02,2.66,94.7,
AST-007,2026-08-14,76.23,2.12,90.72,
AST-007,2026-08-15,74.5,3.03,94.22,
AST-007,2026-08-16,72.14,3.15,92.64,
AST-007,2026-08-17,75.68,3.22,94.12,
AST-007,2026-08-18,72.52,2.92,91.81,
AST-007,2026-08-19,74.13,2.95,93.98,
AST-007,2026-08-20,77.5,3.46,92.13,
AST-007,2026-08-21,75.75,2.95,86.99,
AST-007,2026-08-22,71.33,2.37,92.05,
AST-007,2026-08-23,73.38,3.78,94.09,
AST-007,2026-08-24,72.91,3.45,86.48,
AST-007,2026-08-25,73.82,3.42,88.67,
AST-007,2026-08-26,75.63,3.25,91.86,
AST-007,2026-08-27,74.61,4.02,93.65,
AST-007,2026-08-28,73.84,2.93,90.56,
AST-007,2026-08-29,75.01,2.77,93.32,
AST-007,2026-08-30,72.39,3.31,94.11,
AST-007,2026-08-31,75.42,2.91,92.3,
AST-007,2026-09-01,71.39,2.94,94.24,
AST-007,2026-09-02,74.86,2.74,95.72,
AST-007,2026-09-03,76.06,3.28,98.74,
AST-007,2026-09-04,71.8,2.62,87.77,
AST-007,2026-09-05,76.34,3.38,92.94,
AST-007,2026-09-06,73.91,2.66,100.45,
AST-007,2026-09-07,73.6,3.16,95.29,
AST-007,2026-09-08,74.31,3.2,90.74,
AST-007,2026-09-09,74.29,3.87,97.15,
AST-007,2026-09-10,76.53,2.91,90.14,
AST-007,2026-09-11,73.09,3.14,96.39,
AST-008,2026-08-13,61.69,2.77,96.54,
AST-008,2026-08-14,64.17,2.24,93.04,
AST-008,2026-08-15,66.88,2.77,93.26,
AST-008,2026-08-16,64.12,2.65,98.21,
AST-008,2026-08-17,66.05,2.58,93.9,
AST-008,2026-08-18,67.25,2.23,93.46,
AST-008,2026-08-19,68.26,3.41,97.52,
AST-008,2026-08-20,70.28,3.56,90.64,
AST-008,2026-08-21,72.2,3.69,91.64,
AST-008,2026-08-22,71.61,3.61,91.53,
AST-008,2026-08-23,70.64,4.15,91.2,
AST-008,2026-08-24,70.96,4.53,89.79,
AST-008,2026-08-25,72.84,5.48,85.08,
AST-008,2026-08-26,73.07,5.46,85.83,
AST-008,2026-08-27,72.64,4.32,84.89,
AST-008,2026-08-28,74.47,4.6,91.19,
AST-008,2026-08-29,77.55,5.23,89.88,
AST-008,2026-08-30,75.01,5.08,89.23,
AST-008,2026-08-31,74.22,5.29,84.62,
AST-008,2026-09-01,75.38,6.62,85.49,
AST-008,2026-09-02,75.17,6.65,83.37,
AST-008,2026-09-03,77.6,5.44,83.03,
AST-008,2026-09-04,78.29,5.99,85.21,
AST-008,2026-09-05,81.92,5.99,87.35,
AST-008,2026-09-06,77.26,6.49,77.81,PRESSURE_LOW
AST-008,2026-09-07,81.26,7.09,86.56,
AST-008,2026-09-08,78.54,7.29,81.78,PRESSURE_LOW
AST-008,2026-09-09,81.51,7.16,80.53,
AST-008,2026-09-10,86.95,8.44,82.17,
AST-008,2026-09-11,88.12,8.74,79.23,
AST-009,2026-08-13,62.48,2.67,96.1,
AST-009,2026-08-14,63.36,3.42,99.59,
AST-009,2026-08-15,61.91,3.49,98.52,
AST-009,2026-08-16,60.31,3.43,97.21,
AST-009,2026-08-17,62.69,2.67,103.23,
AST-009,2026-08-18,62.81,3.45,103.09,
AST-009,2026-08-19,65.2,3.76,94.62,
AST-009,2026-08-20,59.31,3.1,100.22,
AST-009,2026-08-21,62.9,3.06,100.7,
AST-009,2026-08-22,60.36,3.11,95.92,
AST-009,2026-08-23,60.02,2.81,97.21,
AST-009,2026-08-24,63.98,2.97,108.04,
AST-009,2026-08-25,62.86,3.42,97.57,
AST-009,2026-08-26,63.27,3.12,100.51,
AST-009,2026-08-27,66.99,3.31,103.59,
AST-009,2026-08-28,60.46,3.34,105.45,
AST-009,2026-08-29,60.62,4.08,102.27,
AST-009,2026-08-30,60.74,3.6,103.06,
AST-009,2026-08-31,63.11,2.72,97.96,
AST-009,2026-09-01,61.37,3.32,102.0,
AST-009,2026-09-02,62.22,2.82,101.28,
AST-009,2026-09-03,63.09,3.57,103.38,
AST-009,2026-09-04,63.54,3.53,99.93,
AST-009,2026-09-05,58.55,3.52,100.77,
AST-009,2026-09-06,62.41,2.84,96.9,
AST-009,2026-09-07,63.98,3.33,102.19,
AST-009,2026-09-08,61.93,3.36,102.96,
AST-009,2026-09-09,60.84,3.39,98.76,
AST-009,2026-09-10,61.0,3.23,100.81,
AST-009,2026-09-11,60.91,3.85,97.46,
AST-010,2026-08-13,69.63,2.31,108.29,
AST-010,2026-08-14,70.4,2.9,99.49,
AST-010,2026-08-15,70.54,2.85,104.19,
AST-010,2026-08-16,72.13,2.28,108.17,
AST-010,2026-08-17,74.6,2.34,102.61,
AST-010,2026-08-18,72.91,3.12,102.38,
AST-010,2026-08-19,69.16,2.38,99.91,
AST-010,2026-08-20,68.17,2.09,101.64,
AST-010,2026-08-21,69.93,2.58,108.6,
AST-010,2026-08-22,68.01,2.88,103.3,
AST-010,2026-08-23,69.9,2.76,100.58,
AST-010,2026-08-24,70.77,2.56,105.42,
AST-010,2026-08-25,70.58,3.47,102.03,
AST-010,2026-08-26,68.94,2.24,102.28,
AST-010,2026-08-27,68.73,2.96,108.21,
AST-010,2026-08-28,68.86,2.16,105.36,
AST-010,2026-08-29,68.9,2.74,104.55,
AST-010,2026-08-30,66.97,3.11,109.33,
AST-010,2026-08-31,68.78,2.33,104.8,
AST-010,2026-09-01,70.67,2.75,109.97,
AST-010,2026-09-02,69.65,2.17,99.81,
AST-010,2026-09-03,68.54,2.48,109.33,
AST-010,2026-09-04,68.97,2.58,103.89,
AST-010,2026-09-05,72.38,3.5,102.35,
AST-010,2026-09-06,69.02,2.91,105.99,
AST-010,2026-09-07,73.7,2.72,102.87,
AST-010,2026-09-08,71.18,2.93,106.41,
AST-010,2026-09-09,71.02,2.92,107.45,
AST-010,2026-09-10,72.77,2.75,103.44,
AST-010,2026-09-11,70.3,2.97,101.49,
AST-011,2026-08-13,69.05,2.13,103.38,
AST-011,2026-08-14,70.87,2.36,103.44,
AST-011,2026-08-15,65.6,2.59,105.24,
AST-011,2026-08-16,72.64,2.16,103.96,
AST-011,2026-08-17,68.81,2.92,103.01,
AST-011,2026-08-18,68.87,2.53,103.86,
AST-011,2026-08-19,67.42,2.37,106.52,
AST-011,2026-08-20,66.26,2.34,101.2,
AST-011,2026-08-21,70.71,1.68,101.62,
AST-011,2026-08-22,69.07,2.91,103.1,
AST-011,2026-08-23,67.21,3.04,98.95,
AST-011,2026-08-24,63.92,2.46,101.79,
AST-011,2026-08-25,66.27,2.57,104.03,
AST-011,2026-08-26,67.19,1.78,105.92,
AST-011,2026-08-27,69.62,2.25,108.84,
AST-011,2026-08-28,66.18,1.68,101.22,
AST-011,2026-08-29,68.23,2.39,102.57,
AST-011,2026-08-30,69.02,1.79,107.63,
AST-011,2026-08-31,68.15,2.73,104.33,
AST-011,2026-09-01,69.23,2.52,104.64,
AST-011,2026-09-02,69.6,2.82,103.89,
AST-011,2026-09-03,69.73,2.25,107.62,
AST-011,2026-09-04,66.96,3.01,103.18,
AST-011,2026-09-05,65.45,2.34,101.26,
AST-011,2026-09-06,70.0,2.03,101.96,
AST-011,2026-09-07,64.54,2.11,96.03,
AST-011,2026-09-08,65.15,2.59,105.66,
AST-011,2026-09-09,69.17,1.9,103.16,
AST-011,2026-09-10,68.31,1.82,107.81,
AST-011,2026-09-11,70.07,2.2,103.38,
AST-012,2026-08-13,66.1,2.31,92.74,
AST-012,2026-08-14,64.32,2.72,92.64,
AST-012,2026-08-15,69.28,3.38,91.77,
AST-012,2026-08-16,66.83,3.68,96.25,
AST-012,2026-08-17,65.81,2.86,95.58,
AST-012,2026-08-18,66.47,3.48,95.39,
AST-012,2026-08-19,67.79,2.91,97.43,
AST-012,2026-08-20,66.08,3.95,91.41,
AST-012,2026-08-21,69.16,3.2,91.53,
AST-012,2026-08-22,64.72,2.99,94.75,
AST-012,2026-08-23,66.73,2.89,93.41,
AST-012,2026-08-24,69.97,3.81,94.79,
AST-012,2026-08-25,65.76,3.17,95.32,
AST-012,2026-08-26,63.64,3.02,88.47,
AST-012,2026-08-27,66.49,3.38,92.03,
AST-012,2026-08-28,68.84,2.63,89.09,
AST-012,2026-08-29,66.14,3.54,98.53,
AST-012,2026-08-30,64.77,3.55,93.37,
AST-012,2026-08-31,65.34,3.48,95.44,
AST-012,2026-09-01,62.53,3.71,97.62,
AST-012,2026-09-02,64.44,3.28,94.96,
AST-012,2026-09-03,66.21,2.9,91.47,
AST-012,2026-09-04,65.64,3.59,95.11,
AST-012,2026-09-05,64.95,3.43,84.93,
AST-012,2026-09-06,67.98,2.43,92.39,
AST-012,2026-09-07,63.45,2.6,96.96,
AST-012,2026-09-08,64.75,3.26,93.34,
AST-012,2026-09-09,66.64,3.15,89.63,
AST-012,2026-09-10,67.68,2.92,88.81,
AST-012,2026-09-11,64.83,3.72,96.03,
AST-013,2026-08-13,67.84,2.47,105.71,
AST-013,2026-08-14,72.69,2.76,107.96,
AST-013,2026-08-15,70.6,2.7,105.9,
AST-013,2026-08-16,68.14,2.58,106.56,
AST-013,2026-08-17,69.99,2.63,108.87,
AST-013,2026-08-18,68.38,2.64,100.68,
AST-013,2026-08-19,70.37,2.75,109.67,
AST-013,2026-08-20,62.74,3.44,106.26,
AST-013,2026-08-21,70.75,2.19,108.51,
AST-013,2026-08-22,66.43,2.36,112.42,
AST-013,2026-08-23,68.16,2.7,109.28,
AST-013,2026-08-24,69.53,2.67,107.77,
AST-013,2026-08-25,73.34,2.59,107.28,
AST-013,2026-08-26,70.64,3.05,110.24,
AST-013,2026-08-27,69.81,2.15,111.57,
AST-013,2026-08-28,66.24,2.73,104.41,
AST-013,2026-08-29,68.41,2.74,107.64,
AST-013,2026-08-30,69.38,3.25,108.04,
AST-013,2026-08-31,68.05,2.99,110.24,
AST-013,2026-09-01,66.08,2.85,108.78,
AST-013,2026-09-02,67.94,3.16,106.22,
AST-013,2026-09-03,68.79,2.54,106.72,
AST-013,2026-09-04,66.34,2.03,111.46,
AST-013,2026-09-05,66.84,2.21,100.21,
AST-013,2026-09-06,67.26,2.08,111.6,
AST-013,2026-09-07,70.56,2.33,113.43,
AST-013,2026-09-08,70.5,2.48,99.18,
AST-013,2026-09-09,73.12,2.05,101.74,
AST-013,2026-09-10,70.58,3.59,110.83,
AST-013,2026-09-11,69.66,2.85,109.23,
AST-014,2026-08-13,66.08,2.43,106.03,
AST-014,2026-08-14,64.43,2.01,104.87,
AST-014,2026-08-15,61.17,2.28,102.75,
AST-014,2026-08-16,62.35,2.39,109.89,
AST-014,2026-08-17,66.39,1.69,102.75,
AST-014,2026-08-18,66.44,1.92,105.04,
AST-014,2026-08-19,65.66,1.93,106.03,
AST-014,2026-08-20,61.89,2.07,106.67,
AST-014,2026-08-21,61.37,2.49,105.66,
AST-014,2026-08-22,65.66,2.4,109.81,
AST-014,2026-08-23,64.81,2.14,106.08,
AST-014,2026-08-24,65.64,2.33,105.84,
AST-014,2026-08-25,63.15,2.05,101.51,
AST-014,2026-08-26,68.06,1.82,103.64,
AST-014,2026-08-27,63.12,2.67,104.83,
AST-014,2026-08-28,67.05,2.05,106.55,
AST-014,2026-08-29,62.89,3.17,102.15,
AST-014,2026-08-30,65.18,2.57,106.96,
AST-014,2026-08-31,64.19,2.26,105.85,
AST-014,2026-09-01,64.26,2.7,112.35,
AST-014,2026-09-02,63.44,1.77,105.45,
AST-014,2026-09-03,69.72,1.99,110.63,
AST-014,2026-09-04,67.91,2.09,107.42,
AST-014,2026-09-05,67.81,2.16,105.1,
AST-014,2026-09-06,63.39,1.91,103.77,
AST-014,2026-09-07,62.11,2.33,103.41,
AST-014,2026-09-08,65.03,1.69,106.71,
AST-014,2026-09-09,66.23,1.52,106.84,
AST-014,2026-09-10,67.01,1.83,110.73,
AST-014,2026-09-11,65.4,2.03,105.55,
AST-015,2026-08-13,70.22,2.51,100.45,
AST-015,2026-08-14,67.26,2.55,94.59,
AST-015,2026-08-15,68.88,2.12,96.63,
AST-015,2026-08-16,71.57,2.92,100.66,
AST-015,2026-08-17,66.92,2.36,102.48,
AST-015,2026-08-18,69.38,3.41,100.02,
AST-015,2026-08-19,69.48,2.36,99.24,
AST-015,2026-08-20,68.79,2.77,101.71,
AST-015,2026-08-21,67.53,1.95,93.33,
AST-015,2026-08-22,70.12,2.04,92.38,
AST-015,2026-08-23,69.88,3.48,98.82,
AST-015,2026-08-24,70.78,2.52,98.54,
AST-015,2026-08-25,70.94,2.37,99.64,
AST-015,2026-08-26,69.74,2.22,101.81,
AST-015,2026-08-27,68.75,2.18,100.45,
AST-015,2026-08-28,67.3,2.49,98.81,
AST-015,2026-08-29,71.27,2.67,98.76,
AST-015,2026-08-30,70.74,3.04,100.51,
AST-015,2026-08-31,69.12,1.96,95.64,
AST-015,2026-09-01,68.49,2.24,98.27,
AST-015,2026-09-02,69.21,2.7,98.62,
AST-015,2026-09-03,70.07,2.51,92.91,
AST-015,2026-09-04,67.22,2.43,95.21,
AST-015,2026-09-05,70.3,3.1,102.49,
AST-015,2026-09-06,68.67,3.08,99.28,
AST-015,2026-09-07,68.43,2.24,97.93,
AST-015,2026-09-08,68.32,2.55,99.32,
AST-015,2026-09-09,69.11,2.66,102.41,
AST-015,2026-09-10,71.0,1.89,91.17,
AST-015,2026-09-11,70.97,1.94,98.16,
AST-016,2026-08-13,67.79,2.05,107.5,
AST-016,2026-08-14,71.65,2.54,98.1,
AST-016,2026-08-15,69.04,2.92,101.44,
AST-016,2026-08-16,70.5,2.76,107.61,
AST-016,2026-08-17,70.37,2.38,109.46,
AST-016,2026-08-18,69.82,2.76,103.07,
AST-016,2026-08-19,69.25,2.41,105.36,
AST-016,2026-08-20,73.56,2.22,101.03,
AST-016,2026-08-21,73.08,2.68,103.87,
AST-016,2026-08-22,72.21,2.52,111.35,
AST-016,2026-08-23,71.49,2.57,112.35,
AST-016,2026-08-24,68.92,3.06,106.77,
AST-016,2026-08-25,72.74,3.39,105.97,
AST-016,2026-08-26,68.63,2.95,103.84,
AST-016,2026-08-27,74.16,2.82,104.78,
AST-016,2026-08-28,70.5,2.23,102.96,
AST-016,2026-08-29,72.54,2.5,102.73,
AST-016,2026-08-30,71.21,3.24,108.03,
AST-016,2026-08-31,72.13,2.46,101.61,
AST-016,2026-09-01,73.14,2.64,105.12,
AST-016,2026-09-02,72.79,2.99,107.24,
AST-016,2026-09-03,74.46,2.51,108.66,
AST-016,2026-09-04,70.25,2.87,110.46,
AST-016,2026-09-05,71.15,2.98,109.09,
AST-016,2026-09-06,69.4,2.43,102.74,
AST-016,2026-09-07,66.2,3.59,102.57,
AST-016,2026-09-08,69.69,2.66,106.8,
AST-016,2026-09-09,71.77,3.11,104.13,
AST-016,2026-09-10,69.8,2.88,105.13,
AST-016,2026-09-11,73.35,2.96,108.08,
AST-017,2026-08-13,75.72,3.57,103.72,
AST-017,2026-08-14,71.8,3.26,101.22,
AST-017,2026-08-15,73.34,3.34,106.89,
AST-017,2026-08-16,74.44,3.23,108.28,
AST-017,2026-08-17,74.88,4.14,104.87,
AST-017,2026-08-18,70.88,3.41,104.32,
AST-017,2026-08-19,76.98,3.37,102.76,
AST-017,2026-08-20,71.95,3.02,100.63,
AST-017,2026-08-21,73.24,3.34,108.19,
AST-017,2026-08-22,75.19,2.63,104.51,
AST-017,2026-08-23,76.79,2.86,102.77,
AST-017,2026-08-24,74.43,2.79,105.12,
AST-017,2026-08-25,74.16,3.27,100.51,
AST-017,2026-08-26,73.52,3.39,102.06,
AST-017,2026-08-27,77.85,2.94,103.85,
AST-017,2026-08-28,76.26,2.54,97.89,
AST-017,2026-08-29,71.35,3.61,101.52,
AST-017,2026-08-30,79.51,2.88,103.73,
AST-017,2026-08-31,77.48,3.91,109.36,
AST-017,2026-09-01,76.81,3.51,104.95,
AST-017,2026-09-02,75.95,2.88,100.72,
AST-017,2026-09-03,74.39,3.04,101.82,
AST-017,2026-09-04,75.79,3.49,103.44,
AST-017,2026-09-05,77.35,2.65,102.6,
AST-017,2026-09-06,72.96,2.36,102.93,
AST-017,2026-09-07,74.15,3.71,105.07,
AST-017,2026-09-08,72.35,3.85,106.84,
AST-017,2026-09-09,75.56,3.01,100.3,
AST-017,2026-09-10,73.65,3.54,108.83,
AST-017,2026-09-11,77.48,2.91,99.82,
AST-018,2026-08-13,64.47,2.47,103.03,
AST-018,2026-08-14,64.64,3.07,98.67,
AST-018,2026-08-15,66.06,3.3,98.84,
AST-018,2026-08-16,62.22,3.52,103.99,
AST-018,2026-08-17,69.52,3.68,98.92,
AST-018,2026-08-18,68.13,3.44,99.92,
AST-018,2026-08-19,70.19,4.68,98.3,
AST-018,2026-08-20,69.27,3.82,96.29,
AST-018,2026-08-21,69.77,4.54,99.47,
AST-018,2026-08-22,70.3,4.75,97.14,
AST-018,2026-08-23,70.77,4.64,91.61,
AST-018,2026-08-24,72.25,5.51,95.51,
AST-018,2026-08-25,73.62,5.82,92.41,
AST-018,2026-08-26,73.89,5.55,93.03,
AST-018,2026-08-27,75.72,5.09,94.56,
AST-018,2026-08-28,75.9,4.93,95.27,
AST-018,2026-08-29,73.74,5.27,93.61,
AST-018,2026-08-30,78.52,5.36,93.06,
AST-018,2026-08-31,79.26,5.75,93.29,
AST-018,2026-09-01,75.63,5.57,92.38,
AST-018,2026-09-02,75.41,5.45,91.71,
AST-018,2026-09-03,76.55,6.84,88.5,
AST-018,2026-09-04,81.83,8.63,91.36,
AST-018,2026-09-05,81.42,7.33,91.81,
AST-018,2026-09-06,77.68,6.89,85.85,
AST-018,2026-09-07,79.81,8.2,89.8,
AST-018,2026-09-08,81.97,7.1,86.7,PRESSURE_LOW
AST-018,2026-09-09,81.52,7.95,87.99,
AST-018,2026-09-10,79.18,9.43,88.86,PRESSURE_LOW
AST-018,2026-09-11,84.04,6.98,88.11,
AST-019,2026-08-13,62.9,1.96,98.39,
AST-019,2026-08-14,62.32,3.18,98.14,
AST-019,2026-08-15,63.61,3.14,95.43,
AST-019,2026-08-16,65.56,3.22,93.24,
AST-019,2026-08-17,63.85,3.62,93.85,
AST-019,2026-08-18,64.67,2.89,94.19,
AST-019,2026-08-19,70.06,3.01,93.12,
AST-019,2026-08-20,68.61,3.96,93.41,
AST-019,2026-08-21,65.82,3.88,91.36,
AST-019,2026-08-22,71.6,4.59,96.06,
AST-019,2026-08-23,69.14,4.13,90.97,
AST-019,2026-08-24,71.1,4.59,88.79,
